Date,Prev Close,Open,High,Low,Last,Close,VWAP,Volume
25-05-2012,851.6,841,859.8,840.05,849,847.05,849.78,3031
28-05-2012,847.05,849.95,850,840.5,842.5,843.95,844.3,19157
29-05-2012,843.95,832.65,850,832.65,845,842.25,843.92,8255
30-05-2012,842.25,830,852,830,850,849.1,846.27,12972
31-05-2012,849.1,840,855,840,843.6,849.4,846.05,7762
01-06-2012,849.4,840,856.55,840,846.7,845.15,844.21,8167
04-06-2012,845.15,835.1,853.9,821,845.05,847.25,837.36,7554
05-06-2012,847.25,831,852,831,845.8,848.7,848.1,2593
06-06-2012,848.7,840.1,857.75,840.1,853.2,852.9,847.65,4324
07-06-2012,852.9,844.05,858,844.05,854,854.6,854.2,2635
08-06-2012,854.6,845,868.75,845,864,861.3,857.76,3251
11-06-2012,861.3,852,872,852,870,870.05,868.27,4820
12-06-2012,870.05,867.05,883.7,867.05,878.05,878.75,876.65,4411
13-06-2012,878.75,858,886,858,872.35,877.45,878.48,4109
14-06-2012,877.45,861.7,875.55,861.7,870,870.05,870.76,4240
15-06-2012,870.05,861,893.7,861,890,891.1,885.46,8746
18-06-2012,891.1,890,890,860,860.25,861.9,879.95,7537
19-06-2012,861.9,850,869,850,859,862.25,861.89,2862
20-06-2012,862.25,853.7,867.95,853.7,858,862.5,861.17,3380
21-06-2012,862.5,856,874.65,850.1,874.65,871.95,863.64,3004
22-06-2012,871.95,880,880,862.55,870.95,869.6,868.92,1630
25-06-2012,869.6,870,879.8,865,873.95,873,872.06,2047
26-06-2012,873,865.1,876.85,865.1,875,874.5,873.77,2512
27-06-2012,874.5,870.2,877,870,875,876.15,874.66,4474
28-06-2012,876.15,883,910,871,910,903.15,888.07,13074
29-06-2012,903.15,912.8,920.05,900,914.05,912.45,910.95,9966
02-07-2012,912.45,922.9,922.9,902,910,908.5,911.98,6940
03-07-2012,908.5,918.9,947,911.2,943,936.75,931.39,12724
04-07-2012,936.75,945.4,945.5,916.2,917,918.55,923.69,14070
05-07-2012,918.55,905,915,898.5,909.7,906.55,908.59,17602
06-07-2012,906.55,915,920,902.7,911,907.55,911.47,1327
09-07-2012,907.55,900,921,900,909.8,912,917.94,7341
